FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
126324.6641,107759,51868.96094,48411,527,226.9199982,190.6499939,822.1199951,-119.9700012,17.21999931,144.3199921,314.0599976,42.29980469,Bcells2,419_Bcells2
129639.125,115447,54332.96094,50807,-208.25,186,116.25,425.0100098,539.4000244,-10.65999985,49.20000076,302.5799866,42.79980469,Bcells2,427_Bcells2
167588.5469,131582,130900,113102,1637.100098,411.9899902,265.980011,5250.780273,1788.390015,627.2999878,634.6799927,3969.619873,44,Bcells2,438_Bcells2
143722.0625,124206,53573.51953,48266,413.1000061,315.269989,1070.430054,1285.26001,-25.11000061,51.65999985,-33.61999893,255.0200043,44.59960938,Bcells2,441_Bcells2
33268.92188,32921,12624.47949,12861,37.40000153,-8.369999886,15.81000042,196.2299957,124.6200027,-12.30000019,9.019999504,-70.51999664,45.20019531,Bcells2,449_Bcells2
52242.51953,51025,45863.83984,37925,1280.099976,264.1199951,131.1300049,2461.709961,721.6799927,237.8000031,375.5599976,919.2199707,45.29980469,Bcells2,452_Bcells2
118627.9219,89372,68348.71875,59032,1676.200073,337.5899963,2055.300049,34478.82031,262143,433.7799988,4892.120117,418.1999817,45.79980469,Bcells2,458_Bcells2
128243.4844,112295,51772.16016,47399,124.9500046,357.1199951,1433.130005,1299.209961,-245.5200043,16.39999962,43.45999908,41,46.09960938,Bcells2,462_Bcells2
129363.8438,113429,54107.67969,49729,147.9000092,183.2100067,436.1700134,1733.52002,576.5999756,158.2599945,210.7400055,-43.45999908,46.59960938,Bcells2,468_Bcells2
136795.6563,117410,60463.91797,54882,990.25,289.230011,62.31000137,284.5800171,153.4499969,193.5200043,156.6199951,2675.659912,46.89941406,Bcells2,473_Bcells2
34289.37891,34253,18807.35938,18765,620.5,37.20000076,63.24000168,-39.06000137,-24.18000031,113.159996,107.4199982,368.1799927,49.20019531,Bcells2,506_Bcells2
125469.2188,106457,53542.71875,47129,413.1000061,267.8399963,1741.890015,1161.570068,700.289978,173.8399963,210.7400055,331.2799988,52.09960938,Bcells2,534_Bcells2
132627.9844,114478,62250.32031,56138,306,292.9500122,227.8500061,864.9000244,385.019989,-33.61999893,-31.97999954,-17.21999931,52.29980469,Bcells2,535_Bcells2
65837.0625,49267,63454.16016,56035,3381.300049,167.3999939,445.4700012,16238.73047,3661.409912,811.7999878,2030.319946,4966.739746,53.09960938,Bcells2,546_Bcells2
48415.98047,39862,88484,80694,6269.600098,677.9700317,536.6099854,3528.419922,877.9199829,759.3200073,1343.160034,1043.859985,54.5,Bcells2,556_Bcells2
114139.8203,101375,58470.71875,53631,162.3500061,145.0800018,199.9499969,2170.620117,443.6100159,-17.21999931,50.84000015,120.5400009,57.89941406,Bcells2,591_Bcells2
153316.9063,133887,66401.28125,59419,555.9000244,136.7100067,121.8300018,-151.5899963,82.77000427,34.43999863,30.34000015,106.5999985,58,Bcells2,593_Bcells2
149318.6875,113437,148365.3594,125021,1241.849976,756.0900269,507.7799988,1024.859985,185.0700073,11578.39941,3519.439941,410,58.70019531,Bcells2,598_Bcells2
110265.1797,92188,66266.64063,58040,47.60000229,215.7599945,296.6700134,3023.429932,1209.930054,310.7799988,337.019989,-20.5,59.59960938,Bcells2,605_Bcells2
132790.0469,117932,58457.51953,52828,887.4000244,266.9100037,285.5100098,470.5800171,528.2399902,281.2600098,-3.279999971,3201.280029,60.89941406,Bcells2,620_Bcells2
129648,113999,55445.28125,50987,325.5500183,206.4600067,1403.369995,807.2399902,-318.9899902,-97.58000183,-115.6200027,-0.819999993,62.09960938,Bcells2,631_Bcells2
113098.6406,102351,62163.19922,58123,1104.150024,264.1199951,237.1500092,552.4199829,324.5700073,385.3999939,145.9599915,4615.779785,64.5,Bcells2,653_Bcells2
124809.8828,105278,54996.48047,49678,835.5500488,151.5899963,125.5500031,130.1999969,344.1000061,291.9199829,-19.68000031,2143.47998,65.09960938,Bcells2,657_Bcells2
115256.4844,99407,44372.23828,40991,397.8000183,335.730011,2355.689941,1467.540039,194.3699951,188.5999908,-27.87999916,2308.300049,66.79980469,Bcells2,677_Bcells2
78570.98438,70650,80758.47656,72794,246.5,199.0200043,237.1500092,856.5300293,159.0299988,27.87999916,66.41999817,-264.8599854,67.20019531,Bcells2,682_Bcells2
43119.0625,34821,50101.03906,43477,14657.40039,705.8699951,3564.689941,7597.169922,2682.120117,314.0599976,933.9799805,3864.659912,67.20019531,Bcells2,683_Bcells2
72276.53906,56754,77001.75781,68466,3293.75,200.8800049,232.5,230.6399994,-8.369999886,139.3999939,-11.47999954,1085.679932,68.5,Bcells2,695_Bcells2
131335.2031,112571,47184.71875,42347,-73.09999847,233.4300079,345.9599915,475.230011,-137.6399994,-116.4400024,3.279999971,715.039978,69.5,Bcells2,705_Bcells2
143210.7188,108792,111318.2422,91032,2330.699951,668.6699829,519.8699951,12732.62988,3866.01001,552.6799927,1566.199951,3327.560059,70,Bcells2,710_Bcells2
42538.16016,41018,23224.95898,22618,442,113.4599991,92.06999969,235.2900085,-657.5100098,-110.6999969,-59.86000061,352.6000061,71,Bcells2,725_Bcells2
118027.0391,101459,53533.91797,49155,1234.200073,255.75,153.4499969,439.8900146,-242.7299957,386.2200012,61.5,4752.719727,71.09960938,Bcells2,726_Bcells2
136042.3438,120024,50871.03906,47308,486.2000122,229.7100067,143.2200012,1051.829956,390.6000061,300.9400024,216.4799957,2090.179932,71.39941406,Bcells2,732_Bcells2
30707.78125,30559,15311.12012,15355,30.60000038,96.72000122,16.73999977,109.7399979,-37.20000076,44.27999878,-113.159996,234.5200043,73.59960938,Bcells2,744_Bcells2
189172.125,149046,122297.1172,98550,861.9000244,565.4400024,578.460022,4117.109863,1126.22998,292.7399902,505.1199951,1441.559937,74.29980469,Bcells2,747_Bcells2
146395.6875,126626,70181.75781,63762,518.5,287.3699951,179.4900055,491.9700012,-276.2099915,113.9799957,45.09999847,255.0200043,74.39941406,Bcells2,748_Bcells2
176044.5156,145176,89994.96094,78264,1275.849976,418.5,335.730011,5503.740234,872.3400269,70.51999664,649.4400024,369,75.29980469,Bcells2,755_Bcells2
82791.20313,56486,130103.6016,101478,14200.9502,2752.800049,1605.180054,174945.0938,262143,4639.560059,34572.83984,12420.54004,76.59960938,Bcells2,763_Bcells2
156919.9688,123460,100605.1172,89636,3332.850098,379.4400024,289.230011,19693.67969,4861.109863,787.2000122,2418.179932,6087.680176,79.29980469,Bcells2,791_Bcells2
119939.2031,98627,65447.35938,57959,3094.850098,439.8900146,1394.070068,22318.14063,45384,4205.779785,3659.659912,11983.47949,79.70019531,Bcells2,794_Bcells2
211458.7031,169347,141240.875,124499,1934.600098,651,543.1199951,5017.350098,1343.849976,873.2999878,900.3599854,4597.739746,80.09960938,Bcells2,798_Bcells2
169599.8594,135851,125012.7969,105784,2248.25,411.9899902,291.0899963,3468.900146,843.5100098,657.6400146,750.2999878,5069.239746,80.79980469,Bcells2,803_Bcells2
168330.0156,129085,155435.2813,130333,1583.550049,536.6099854,370.1400146,1176.449951,151.5899963,525.6199951,286.1799927,3056.139893,82.5,Bcells2,818_Bcells2
130919.3203,110107,56365.75781,51231,-126.6500015,337.5899963,72.54000092,588.6900024,105.090004,121.3600006,134.4799957,-134.4799957,83.70019531,Bcells2,830_Bcells2
55475.58203,43503,104705.9219,89563,49698.65234,631.4700317,2342.669922,4805.310059,1749.329956,300.1199951,880.6799927,6416.5,86,Bcells2,853_Bcells2
23822.82031,23565,25348.40039,24377,529.5499878,100.4400024,-4.650000095,-9.300000191,140.4300079,47.56000137,-33.61999893,761.7799683,86.5,Bcells2,857_Bcells2
29608.14063,29003,30200.7207,28635,181.0500031,54.86999893,38.13000107,67.88999939,-101.3700027,-82,31.97999954,333.7399902,86.89941406,Bcells2,863_Bcells2
22395.35938,22142,10144.63965,10042,48.45000076,4.650000095,52.08000183,39.99000168,185.0700073,-107.4199982,50.84000015,104.1399994,88.09960938,Bcells2,872_Bcells2
35180.33984,25841,24019.59961,18801,151.3000031,106.0200043,66.02999878,-231.5700073,341.3099976,-72.15999603,-4.920000076,72.15999603,90.5,Bcells2,893_Bcells2
176361.25,139718,107814.9609,90998,2071.449951,470.5800171,465,10615.9502,2797.439941,704.3800049,1077.47998,4122.140137,91.20019531,Bcells2,900_Bcells2
125551.3594,112694,54772.96094,52182,193.8000031,273.4200134,1354.079956,4456.560059,1060.199951,100.0400009,437.8800049,181.2200012,92.09960938,Bcells2,914_Bcells2
132830,117054,59884.87891,55006,449.6500244,405.480011,1121.579956,2143.649902,1036.949951,130.3800049,253.3800049,254.1999969,95.20019531,Bcells2,947_Bcells2
125347.8594,107791,50994.23828,46523,271.1499939,154.3800049,154.3800049,411.0599976,-217.6199951,45.09999847,-20.5,-0.819999993,95.79980469,Bcells2,950_Bcells2
161024.7344,120701,89738,78221,2322.199951,856.5300293,565.4400024,17647.67969,5869.22998,841.3200073,2053.280029,7023.299805,96.5,Bcells2,959_Bcells2
141692.2344,125891,63676.80078,58627,1133.050049,304.1100159,226.9199982,494.7600098,354.3300171,540.3800049,264.0400085,6320.560059,96.79980469,Bcells2,963_Bcells2
136973.2656,121723,50217.19922,45311,334.0500183,394.3200073,1949.280029,1337.339966,79.05000305,145.9599915,-109.8799973,41.81999969,97.20019531,Bcells2,967_Bcells2
115246.8594,98256,52401.35938,47844,82.45000458,369.2099915,174.8399963,1.860000014,481.7399902,104.9599991,-30.34000015,1435.819946,97.5,Bcells2,972_Bcells2
